Date,Headline,Summary
8:44 AM 3/23/2019,Rep. Jayapal: Mueller report is only a part of House cmte...,"Democratic Congresswoman Pramila Jayapal of Washington says while the Mueller report is key, it is only a part of what the House investigative committees are looking into. Rep. Jayapal discusses with MSNBC’s David Gura."
The 11th Hour with Brian Williams - 12:03 AM 3/23/2019,Jon Meacham: Mueller's report will shape American politics for...,Presidential historian Jon Meacham says he believes the Mueller report 'will shape who we are' and 'have significant implications going forward.'
The 11th Hour with Brian Williams - 11:49 PM 3/22/2019,The most important thing we learned today about the Mueller...,"With a lot of questions still unanswered, we did still learn quite a bit about the Mueller report from Attorney General William Barr's letter to congressional leaders. Joyce Vance, Jeremy Bash, and Frank Figliuzzi discuss."
The 11th Hour with Brian Williams - 11:33 PM 3/22/2019,"FOX News host: Americans care about Netflix and sports, not...","As the Mueller report news was breaking, one FOX News host said most Americans care more about Netflix and their NCAA brackets. Our panel reacts."
The 11th Hour with Brian Williams - 11:16 PM 3/22/2019,Mueller gives his report to DOJ leaving lots of questions...,"Robert Mueller has given his report to Attorney General William Barr leaving a lot of mystery for now about what his Trump-Russia investigation uncovered. Neal Katyal, Nicolle Wallace, and Robert Costa discuss."
The Last Word with Lawrence O'Donnell - 11:04 PM 3/22/2019,What happens now that Mueller submitted his report,"Lawrence O'Donnell talks to Neal Katyal, Julia Ainsley, Jill Wine-Banks and Ari Melber about the next steps of the investigation into the president and how congressional committees will take the spotlight now that Mueller has submitted his report to..."
The Last Word with Lawrence O'Donnell - 11:04 PM 3/22/2019,Top Senator on Congress’ wait for Mueller’s conclusions,"Robert Mueller has concluded his investigation and sent his report to Attorney General William Barr. Sen. Chris Coons (D-DE), a member of the Senate Judiciary Committee who questioned Barr at his confirmation hearing, talks to Lawrence about what he..."
The Rachel Maddow Show - 9:55 PM 3/22/2019,Katyal: Special Counsel process working as intended so far,"Neal Katyal, former acting solicitor general, who wrote the Department of Justice regulations defining the Office of the Special Counsel, talks with Rachel Maddow about whether the special counsel worked as it was intended, and why it is imperative that"
The Rachel Maddow Show - 9:49 PM 3/22/2019,Rosenberg: Trump circle not out of the woods on potential charges,"Chuck Rosenberg, former senior Justice Department official, talks with Rachel Maddow about the ongoing investigations and legal cases in the wake of Robert Mueller's Trump Russia investigation."
The Rachel Maddow Show - 9:41 PM 3/22/2019,Congress demands full Mueller report and 'underlying evidence',"Rep. Adam Schiff, chairman of the House Intelligence Committee, talks with Rachel Maddow about the insistence by Congress to have access to the full Mueller report and its underlying evidence, and the lengths to which House Democrats are prepared to go to"
The Rachel Maddow Show - 9:32 PM 3/22/2019,DOJ careful to avoid Clinton report mistakes with Mueller report,"Devlin Barrett, national security reporter for the Washington Post, talks with Rachel Maddow about the DOJ's handling of the Robert Mueller report and Mueller's continued involvement in deciding what can be released to the public."
The Rachel Maddow Show - 9:28 PM 3/22/2019,Mueller files 'comprehensive report' in concluding investigation,"Josh Gerstein, senior legal affairs contributor for Politico, talks with Rachel Maddow about what is known about Robert Mueller's Trump Russia report and the likelihood that it will be released to Congress given the political will that its contents be"
The Rachel Maddow Show - 9:22 PM 3/22/2019,Klobuchar: 'Time for a full disclosure' of Mueller report,"Senator Amy Klobuchar, member of the Senate Judiciary Committee and 2020 presidential candidate, talks with Rachel Maddow about the need for the American public to have access to the results of Robert Mueller's Trump Russia investigation."
All In with Chris Hayes - 9:20 PM 3/22/2019,Anna Galland on political action after the Mueller report,"Anna Galland, head of MoveOn Civic Action, spoke on the need to keep organizing even after the Mueller report."
All In with Chris Hayes - 9:17 PM 3/22/2019,Veteran attorneys on what's next for Mueller report,Four veteran attorneys and prosecutors on what's next for the Mueller report and investigations into Donald Trump.
All In with Chris Hayes - 9:13 PM 3/22/2019,Next steps for the Mueller report,"Chris Hayes speak to Neal Katyal, former Acting Solicitor General on how Attorney General William Barr is handling the Mueller report."
All In with Chris Hayes - 9:11 PM 3/22/2019,"Sen. Hirono on Mueller report: ""There’s more to come""",Chris Hayes speaks to Senator Mazie Hirono about how the Mueller report is just the beginning.
The Rachel Maddow Show - 9:00 PM 3/22/2019,Nation on edge for next steps as Mueller probe runs its course,"Rachel Maddow reports on what can be gleaned from Attorney General William Barr's letter to the Judiciary Committees about receiving Robert Mueller's report, and what next steps might be expected."
Hardball with Chris Matthews - 8:05 PM 3/22/2019,Joy: The GOP’s main objective is to protect Trump,"What if the Mueller report spells doom? MNSBC’s Joy Reid says the Republican Party’s main priority will be to protect the President, despite wrongdoing."
Hardball with Chris Matthews - 7:41 PM 3/22/2019,"Rep. Ted Lieu: Despite Trump's attempts, Mueller completed his...","The transmission of the Mueller report to Barr concludes an investigation that has resulted in the indictments of 34 people, infuriated the president and thrown the administration into turmoil."
Hardball with Chris Matthews - 7:33 PM 3/22/2019,Sen. Schumer warns Trump not to interfere with release of...,"In a statement, Senate Minority Leader Schumer says that “Attorney General Barr must not give President Trump, his lawyers, or his staff any ‘sneak preview’ of Special Counsel Mueller’s findings or evidence, and the White House must not be allowed to"
Hardball with Chris Matthews - 7:31 PM 3/22/2019,Justice Department: AG Barr reviewing Mueller report,Robert Mueller’s investigation in the Trump campaign is over and according to a senior DOJ official there will be no further indictments from the Special Counsel.
Hardball with Chris Matthews - 7:23 PM 3/22/2019,"Rep. Castro thinks Congress, public should hear from Robert...","In his letter to the House and Senate Judiciary Committees, Attorney General Barr stated that ""Special counsel Robert Mueller has concluded his investigation of Russian interference in the 2016 election and related matters."""
The Beat with Ari Melber - 7:14 PM 3/22/2019,Anchor on Mueller report: Trump failed and the system worked,Ari Melber shares his thoughts on the conclusion of Special Counsel Mueller's investigation.
The Beat with Ari Melber - 6:48 PM 3/22/2019,Sen. Blumenthal on Mueller report: 'The facts and evidence...,"Senator Richard Blumenthal tells Ari Melber that the submission of Robert Mueller's report now requires ""absolute and complete transparency."" Blumenthal adds that, ""The facts and evidence here are likely to show a lot of criminality, a lot of wrongdoing"
The Beat with Ari Melber - 6:44 PM 3/22/2019,Schumer: 'There is no reason on god's green earth' why Mueller...,Senate Minority Leader Schumer makes a statement after Special Counsel Mueller submitted his report to Attorney General Barr.
The Beat with Ari Melber - 6:12 PM 3/22/2019,Top Dem: Mueller report’s end means more indictments coming,"House Intelligence Committee Chairman Adam Schiff gives his first reaction to the Mueller report being completed during an interview over the phone with Ari Melber: ""The key question is though, will Bill Barr live up to the commitment that he made to..."
Deadline: White House - 6:10 PM 3/22/2019,White House preparing Mueller report rebuttal,"WaPo’s Ashley Parker, former assistant director of the FBI Frank Figliuzzi, NYT’s Mike Schmidt, former US attorney Chuck Rosenberg, former DOJ spox Matt Miller and former CIA Director John Brennan on Rudy Giuliani saying that the Trump team will..."
Deadline: White House - 5:44 PM 3/22/2019,U.S. Treasury or North Korean dictator Kim Jong Un: Who will...,"Former assistant director of the FBI Frank Figliuzzi, former US attorney Chuck Rosenberg, former DOJ spox Matt Miller, MSNBC contributor Karine Jean-Pierre, and former CIA Director John Brennan on Trump’s decision to reverse sanctions despite his own..."
5:37 PM 3/22/2019,What comes next for Venezuela?,"The Trump administration has imposed sanctions on several Venezuelan banks, in addition to oil and other major companies and leaders. Ali Velshi talks about the impact of the sanctions with GZERO Media Executive Producer David Ariosto, who just"
5:34 PM 3/22/2019,Sen. Murphy: We need to get back into the Iran nuclear deal,"Ali Velshi talks with Sen. Chris Murphy (D-CT) about the new U.S. sanctions on people and groups connected to a key player in Iran’s former nuclear program, and President Trump’s comments that Democrats are anti-Israel and anti-Jewish."
Steve Benen The Rachel Maddow Show - 5:30 PM 3/22/2019,"Friday's Mini-Report, 3.22.19",Today's edition of quick hits.
5:20 PM 3/22/2019,John Brennan on reversing North Korea sanctions: President...,"In a tweet, President Trump orders the US Treasury Departments newly announced North Korea-related sanctions to be rescinded as the White House says, ""President Trump likes"" Kim Jong Un “and he doesn’t think these sanctions will be necessary.” Watch"
MTP Daily - 5:13 PM 3/22/2019,AG Barr could submit Mueller report to Congress as soon as...,"ecial counsel Robert Mueller on Friday wrapped up his nearly two-year investigation into Donald Trump and Russia and sent his report to Attorney General Barr. No details of Mueller's findings have been released, and it is not clear how soon the public"
4:53 PM 3/22/2019,"Promises made, promises kept?","President Trump has a record of making big policy promises, and when he can't deliver, he places the blame elsewhere. Former Florida Congressman David Jolly, Moveon.org Senior Advisor Karine Jean-Pierre, and the Washington Post's Philip Bump join Katy Tur"
4:52 PM 3/22/2019,Big Question: Can the White House get away with telling...,The White House plans to deliver a clear message to a congressional panel seeking documents in its investigation into the Trump administration-- it won't cooperate easily.
4:23 PM 3/22/2019,Beyond the Mueller report: Investigations into President Trump...,"Even after the Special Counsel's report is submitted to Attorney General Bill Barr, President Trump will face a number of investigations by Congress. Rep. Steve Cohen, a member of the House Judiciary Committee, joins Ali Velshi and Stephanie Ruhle to"
3:38 PM 3/22/2019,"Despite White House declaration of victory over ISIS, fighting...","President Trump declared ISIS was entirely defeated in Syria on Friday. NBC News’ Matt Bradley reports from Baghouz, where the sound of airstrikes and gunfire can still be heard."
Steve Benen The Rachel Maddow Show - 3:24 PM 3/22/2019,"Amidst foreign policy chaos, Trump halts his own North Korea sanctions","The competition is fierce, but Trump rejecting his own administration's sanctions on North Korea is one of his strangest foreign policy decisions in a while."
The Beat with Ari Melber - 3:08 PM 3/22/2019,Jeru The Damaja’s Top 5 MCs & how Ebro & Khaled use his music,Brooklyn rapper Jeru The Damaja talks about coming up with NOTOTIOUS B.I.G. in the 1990s -- shooting down rumors he was criticizing the late artist in his songs knocking materialistic rap – and lists off his top favorite MCs of all time.  Jeru also...
Andrea Mitchell Reports - 1:21 PM 3/22/2019,Andrea reports from Israel after Trump's comments on Golan...,"In a significant shift of decades long American policy - President Trump announced on twitter that the United States should recognize Israel’s authority over the Golan Heights, one of the world's most disputed territories. The announcement giving Israeli"
Steve Benen The Rachel Maddow Show - 12:50 PM 3/22/2019,Trump's latest attack on McCain rests on a fuzzy memory,"Trump said McCain's vote against the GOP health plan denied ""great health care"" to ""sick people."" There is no version of reality in which that makes sense."
Steve Benen The Rachel Maddow Show - 12:00 PM 3/22/2019,"Friday's Campaign Round-Up, 3.22.19",Today's installment of campaign-related news items from across the country.
Steve Benen The Rachel Maddow Show - 11:20 AM 3/22/2019,Why it's so hard to believe Trump's new promises about student loan debt,"Trump promised yesterday to ""fix"" the problems surrounding student loan debt. He may not appreciate just how little credibility he has on the subject."
Steve Benen The Rachel Maddow Show - 10:41 AM 3/22/2019,The problem with Trump trying to shift attention to infrastructure,"If Trump wants Dems to ""get infrastructure done,"" he'll have to do more than bark a vague order intended to distract from his mounting scandals."
MSNBC Live - 10:23 AM 3/22/2019,Trump says he has 'no idea' about the Mueller report,President Trump tells reporters outside the White House that he has ‘no idea’ about the timing of the special counsel’s report.
MSNBC Live with Stephanie Ruhle - 10:22 AM 3/22/2019,Giuliani: We're ‘not expecting’ any more indictments from Mueller,"As speculation grows that the Mueller report could drop at any moment, President Trump’s attorney Rudy Giuliani says they’re not expecting further indictments from the Special Counsel. Stephanie Ruhle is joined by her panel of former US attorney Greg"
MSNBC Live with Stephanie Ruhle - 10:08 AM 3/22/2019,President Trump: 'No idea' about the Mueller report timing,"On his way to Mar-a-Lago for the weekend and to meet with Caribbean leaders, President Trump answered reporters' questions about the Mueller report. President Trump repeated that he believes the report is a witchhunt and a hoax."
Steve Benen The Rachel Maddow Show - 10:06 AM 3/22/2019,"Under Trump, US is 'losing its position as the global arbiter'","To hear Trump tell it, the world is once again following the United States' lead. It's a nice fantasy, belied by reality."
MSNBC Live with Stephanie Ruhle - 9:29 AM 3/22/2019,Trump says recognition of Israeli sovereignty over the Golan...,"""I wouldn't even know about that,"" President Trump tells Fox's Maria Bartiromo on Netanyahu's re-election campaign, as it relates to the timing of his decision to recognize Israel's sovereignty over the Golan Heights. Andrea Mitchell joins Stephanie Ruhle"
MSNBC Live with Stephanie Ruhle - 9:28 AM 3/22/2019,Trump on Fox: 'People will not stand for it' if Mueller report...,"President Donald Trump repeats that there is ""no collusion"" to Fox News' Maria Bartiromo and that people will not stand for a report about obstruction of justice. For his part, former FBI director James Comey told the NY Times that Special Counselor"
Morning Joe  - 9:20 AM 3/22/2019,Legal experts express doubt about imminent report release,"Washington and the world is anxiously awaiting the release of the special counsel's findings on if the president colluded with Russia in 2016. But is the report imminent? Chuck Rosenberg, Preet Bharara and Ari Melber discuss."
Steve Benen The Rachel Maddow Show - 8:40 AM 3/22/2019,Trump's new order on campus speech does much less than he thinks,"With his new executive order addressing free speech on college campuses, Trump said he took ""historic action."" That's really not what happened."
Steve Benen The Rachel Maddow Show - 8:00 AM 3/22/2019,Marine Corps leader sees 'unacceptable risks' in Trump's border agenda,Trump thinks it's a great idea to deploy thousands of U.S. troops to the southern border. The commandant of the Marine Corps said ... something very different.
Morning Joe  - 7:36 AM 3/22/2019,"When attacking McCain, Trump only hurts himself","The president insists he only discusses the late Sen. McCain when asked questions by the media. The panel discusses Trump's remarks about McCain, including his feelings on not being thanked for McCain's funeral."
Morning Joe  - 6:42 AM 3/22/2019,Joe: Why would the Mueller report come right now?,"As anticipation builds for the release of the special counsel's report on whether or not the president colluded with Russia in 2016, Joe Scarborough wonders why now would be the time to release the report."
The 11th Hour with Brian Williams - 11:57 PM 3/21/2019,Biden reportedly mulling campaign launch with Stacey Abrams as...,Is the former vice president ready to get into the 2020 race? Will he launch his campaign and pick his running mate at the same time? We discuss that and more with Anita Kumar and A.B. Stoddard.
The 11th Hour with Brian Williams - 11:50 PM 3/21/2019,Dem Rep. Demings: Congress has every right to investigate...,"Rep. Val Demings, a Democrat who sits on both the House Intelligence and Judiciary Committees, joins to discuss Robert Mueller and the investigations into this presidency on Capitol Hill."
The 11th Hour with Brian Williams - 11:29 PM 3/21/2019,Clint Watts: Jared Kushner and Ivanka using private email is...,"After Trump repeatedly tarnishing Hillary Clinton over her emails during the 2016 campaign, the Trump White House is facing huge scrutiny over Jared Kushner and Ivanka Trump using private email and WhatsApp. Clint Watts reacts."
The 11th Hour with Brian Williams - 11:20 PM 3/21/2019,Hours or days or more? Here's when we expect the Mueller report,"The White House and all of Washington are waiting for Mueller's report which is reportedly coming very soon. When can we expect it? What will happen next? Will the public get to see it? Julia Ainsley, Mimi Rocah, Tamara Keith, and Clint Watts discuss."
The Rachel Maddow Show - 9:40 PM 3/21/2019,ACLU: American citizens being detained by 'overzealous' ICE,"Micah Kubic, executive director of the ACLU of Florida, talks about how the eagerness with which ICE is pursuing undocumented immigrants is bleeding over into the detention and threatened deportation of American citizens."
The Rachel Maddow Show - 9:28 PM 3/21/2019,Probe of Trump's Moscow business secrets raises more questions,"Andrea Bernstein, senior editor for politics and policy at WNYC, talks about a new report from WNYC and Pro Publica examining Donald Trump's pursuit of a construction project in Moscow and the peculiar cast of characters he engaged."
The Rachel Maddow Show - 9:20 PM 3/21/2019,"Jared, Ivanka using personal accounts for official duties: House","Joy Reid reports on a letter from House Oversight Chairman Elijah Cummings that says Jared Kushner is conducting official U.S. government business on WhatsApp, and Ivanka Trump continues to receive official business e-mails to her personal e-mail account."
All In with Chris Hayes - 8:49 PM 3/21/2019,Finns clap back at Nikki Haley: Our health care is great!,Nikki Haley continues the Trump World tradition of spreading wild misconceptions about Finland - and the Finnish people set her straight.
All In with Chris Hayes - 8:35 PM 3/21/2019,Five Rules for News about the Mueller Report,Former Acting U.S. Solicitor General Neal Katyal tells Chris Hayes what to watch for when news breaks about the Mueller report.
All In with Chris Hayes - 8:31 PM 3/21/2019,Lock him up: Donald Trump's very own email scandal,"The White House has refused to cooperate with a congressional probe of personal email use, including by Jared Kushner & Ivanka Trump."
Hardball with Chris Matthews - 7:43 PM 3/21/2019,Sen. Sherrod Brown: Trump has betrayed workers,Ohio Senator Sherrod Brown joins Hardball to talk about the latest news in 2020 and whether Joe Biden should run.
The Beat with Ari Melber - 7:37 PM 3/21/2019,Line crossed: Three SDNY chiefs say Trump can be indicted,"Two former chief prosecutors at the Southern District of New York join MSNBC Chief Legal Correspondent, Ari Melber for a wide-ranging interview. In a discussion about whether a sitting President, from any period of time, could be indicted given the..."
The Beat with Ari Melber - 7:35 PM 3/21/2019,"Insider: White House staff 'exasperated' by Kushner, Ivanka Trump","Members of Trump’s family are facing allegations of email hypocrisy and rampant nepotism as reporting reveals Jared Kushner and Ivanka Trump are under scrutiny for the use of private emails and messaging apps. Author of “Kushner Inc.”, Vicky Ward,..."
Hardball with Chris Matthews - 7:34 PM 3/21/2019,What James Comey wants from the Mueller report,"Former FBI Director James Comey writes in a New York Times Op-ed that, ""Even though I believe Mr. Trump is morally unfit to be president of the United States, I'm not rooting for Mr. Mueller to demonstrate that he is a criminal. I'm also not rooting for"
The Beat with Ari Melber - 7:32 PM 3/21/2019,See rare pic of Mueller at work as 10 lawyers stay on the case,"Special Counsel Mueller’s office confirms on the record to MSNBC Chief Legal Correspondent Ari Melber that there are still 10 full time prosecutors working on the Russia probe, with one well-known prosecutor, Andrew Weissman “leaving soon”. The Office..."
Hardball with Chris Matthews - 7:17 PM 3/21/2019,Trump on McCain: 'He was horrible',The President continued his vicious tirade against the late Senator John McCain.
MTP Daily - 5:48 PM 3/21/2019,Delaney: Beating Trump is number one priority for Dem voters,2020 candidate John Delaney joins Chuck Todd to discuss his run for the presidency and why he thinks ability to beat Trump is “by far the most important thing” for Democratic voters.
MTP Daily - 5:38 PM 3/21/2019,Netanyahu to make key campaign stop at the White House,"As elections in Israel near, the Israeli prime minister is getting an unprecedented level of help from President Trump."
Deadline: White House - 5:32 PM 3/21/2019,‘Show us your bone spurs’: McCain colleague rebukes the...,"WaPo’s Robert Costa, AP’s Jonathan Lemire, former DOJ spox Matt Miller, NBC’s Carol Lee, and MSNBC contributor Karine Jean-Pierre on the divide within the Republican party over Trump’s continued attacks on the late Sen. John McCain"
Steve Benen The Rachel Maddow Show - 5:30 PM 3/21/2019,"Thursday's Mini-Report, 3.21.19",Today's edition of quick hits.
4:30 PM 3/21/2019,Will Trump’s Golan Heights announcement help Netanyahu?,"President Trump has announced what would be a huge policy shift, saying it’s time for the United States to recognize Israel's sovereignty over the Golan Heights. So what could this have to do with the Israeli Prime Minister’s re-election campaign? Ian"
4:28 PM 3/21/2019,Rep. Krishnamoorthi: House investigations may go beyond Mueller,"Ali Velshi talks with Rep. Raja Krishnamoorthi (D-IL), a member of the Oversight and Intelligence Committees, about Congressional requests for documents on Jared Kushner’s communications and what lies ahead for investigations into President Trump and his"
4:24 PM 3/21/2019,Trump Executive Order: Which speech does he want to protect?,"President Trump has signed a new executive order aimed at protecting freedom of speech on college campuses, but what does he really mean by that? Sanford J. Ungar, the President Emeritus of Goucher College and Director of the Free Speech Project at"
4:23 PM 3/21/2019,Unbelievable: How low can President Trump go?,"President Trump continues to attack dead war hero and six-term senator, John McCain. Former Congressmen Carlos Curbelo and Steve Israel join Katy to discuss why there hasn't been a stronger backlash from Republicans in Washington."
4:21 PM 3/21/2019,What questions will be answered in Mueller's report?,"As the White House and Congress prepare for the release of the Special Counsel's final report, many questions remain. Among them: how will Trump react when the investigation that has been bearing down on his Presidency for two years finally comes to an"
Steve Benen The Rachel Maddow Show - 2:52 PM 3/21/2019,"On Trump-Putin talks, White House to keep info from Congress","Asked in January if he'd release info about his Putin chats, Trump said, ""I would. I don't care.... I'm not keeping anything under wraps."" Yeah, about that..."
2:23 PM 3/21/2019,What will happen when Mueller submits his report?,It appears Special Counsel Robert Mueller’s report on his sweeping Russia investigation could come at any time now. Stephanie Ruhle and Ali Velshi break down what exactly will happen when the report drops. Weighing in: NBC News National Security and
Steve Benen The Rachel Maddow Show - 12:45 PM 3/21/2019,Trump's latest claims about ISIS appear dubious (again),"For Trump, it seems the end of ISIS's caliphate will always be a day away."
Steve Benen The Rachel Maddow Show - 12:00 PM 3/21/2019,"Thursday's Campaign Round-Up, 3.21.19",Today's installment of campaign-related news items from across the country.
Steve Benen The Rachel Maddow Show - 11:20 AM 3/21/2019,"On economic data, it's Trump vs the Trump administration",Trump says economic growth topped 3%. The Trump administration disagrees. One of them is playing a foolish game.
MSNBC Live with Stephanie Ruhle - 11:16 AM 3/21/2019,Why Jay Powell’s latest comments might make Trump’s 2020 run...,Watch Politico’s Chief Economic Correspondent Ben White join Stephanie Ruhle to discuss President Trump’s re-election and the economy and why Fed Chair Jay Powell’s comments yesterday might make his run a lot harder.
MSNBC Live with Stephanie Ruhle - 11:15 AM 3/21/2019,Is WH’s 'cautious optimism' on the Mueller report warranted?,The Associated Press says there is a sense of “cautious optimism” in the White House that the worst is over when it comes to the Mueller report. Stephanie Ruhle breaks down if that shift in thinking is warranted. Weighing in: LA Times White House
Steve Benen The Rachel Maddow Show - 10:13 AM 3/21/2019,Poll answers the 'What happened to Lindsey Graham?' question,There's no shortage of speculation as to what caused Lindsey Graham's metamorphosis. The latest statewide poll in South Carolina seems to answer the question.
Steve Benen The Rachel Maddow Show - 9:20 AM 3/21/2019,Trump's line on the Mueller report takes a confusing turn,Trump seems convinced that there should be a connection between the size of his modest 2016 victory and the legitimacy of a Mueller report. That's ... strange.
Morning Joe  - 9:17 AM 3/21/2019,'There are indictments in this president's future': Sen....,"Sen. Richard Blumenthal, D-Conn., discusses the Mueller report and why he says indictment are in the president's future, whether he is in the White House or after his presidency."
Morning Joe  - 8:52 AM 3/21/2019,NY congressman explains his apology over Rep. Omar remarks,"Rep. Max Rose, D-NY, explains why he apologized to constituents in the wake of comments made by Rep. Ilhan Omar. Rep. Rose also discusses hypocrisy from the GOP, not dignifying Trump's attacks on the late Sen. McCain and issues that matter to Staten..."
Morning Joe  - 8:44 AM 3/21/2019,Joe: Conway gets the best of Trump every time,"The Morning Joe panel discusses the continued back and forth public remarks between the president and George Conway, husband of counselor Kellyanne Conway."
Steve Benen The Rachel Maddow Show - 8:40 AM 3/21/2019,Trump's acting Pentagon chief faces new ethics probe,"Team Trump didn't need another ethics mess, but it nevertheless appears to have one."
Morning Joe  - 8:13 AM 3/21/2019,"No, Trump didn't give the funeral to Sen. McCain","While again discussing the late Sen. John McCain, the president said he gave McCain the kind of funeral that he wanted but didn't get a 'thank you' for doing so. Reporter Jonathan Lemire weighs in with the panel."
Steve Benen The Rachel Maddow Show - 8:00 AM 3/21/2019,"Trump's offensive against McCain isn't just ugly, it's also dishonest",It's one thing for a president to lash out publicly at a dead man who can't defend himself; it's something else for the president to do so while lying.
Morning Joe  - 6:42 AM 3/21/2019,How Trump plans to weaponize the Mueller report,"Before departing the White House on Wednesday, the president told reporters he doesn't understand why special counsel Robert Mueller is writing a report, but that he wants the general public to see it anyway. The panel discusses."
The 11th Hour with Brian Williams - 11:53 PM 3/20/2019,Michael Steele: It gnaws at Trump that McCain will always be...,"While Hill Republicans remained largely silent after Trump's latest attacks on McCain, the president's critics were quick to denounce him. Tim O'Brien and Michael Steele react."
The 11th Hour with Brian Williams - 11:45 PM 3/20/2019,New reporting shows Kushner was heavily involved in James...,"In her new book ""Kushner, Inc."" veteran journalist Vicky Ward lays out just how involved Jared Kushner and Ivanka Trump are with some of the most controversial moves by the Trump White House. Ward joins to discuss."
The 11th Hour with Brian Williams - 11:17 PM 3/20/2019,Trump attacks McCain & more as White House waits for Mueller...,"Trump laid into Robert Mueller and John McCain with his most personal attacks yet as DC lies in wait for the Mueller report which could reportedly come at any time. Preet Bharara, Philip Rucker, and Jill Colvin react."
The Last Word with Lawrence O'Donnell - 11:07 PM 3/20/2019,"Trump stokes personal feuds, tells workers ‘You better love me’","The president went to Ohio to tout manufacturing, but focused on bizarre personal attacks. John Harwood tells Ali Velshi Trump is ""completely absorbed in himself"" amid a ""slowing"" economy. David Leonhardt explains why there is ""no reason to believe..."
The Last Word with Lawrence O'Donnell - 10:33 PM 3/20/2019,Fmr. top DOJ official: 'Nothing more corrosive' than...,"President Trump falsely claims that because he was elected to the presidency, Mueller shouldn't be allowed to investigate him. Neal Katyal, who wrote the special counsel regulations, tells Ali Velshi that ""no person is above the law,"" including Trump."
The Rachel Maddow Show - 9:28 PM 3/20/2019,Russian denies Flynn meeting suggested in court documents,Rachel Maddow updates the story of the suggestion in court documents in the trial of Trump transition official Bijan Kian that Mike Flynn met with Russian Kirill Dmitriev with a denial from Dmitriev that any such meeting happened.
The Rachel Maddow Show - 9:00 PM 3/20/2019,Trump disregard for congressional oversight untenable in America,"Michael Beschloss, NBC News presidential historian, talks with Rachel Maddow about why Donald Trump's authoritarian disregard for oversight is not only ill suited to how the United States government works, but is precedented by some discouraging history."
All In with Chris Hayes - 8:43 PM 3/20/2019,What Rep. Katie Porter wants to know about Trump's bank,"Two House committees are investigating Deutsche Bank, Trump's biggest lender, which previously got caught laundering Russian money."
Hardball with Chris Matthews - 7:56 PM 3/20/2019,Majority of Americans support getting rid of the Electoral...,"According to Pew Research Center, 55% of Americans would support amending the Constitution so that the person with the most votes wins."
Hardball with Chris Matthews - 7:42 PM 3/20/2019,WSJ: Biden telling supporters he plans 2020 bid,Will he or won't he? Former Vice President Joe Biden has still not publicly announced whether or not he's going to run for president.
Hardball with Chris Matthews - 7:29 PM 3/20/2019,Poll: 62% confident Mueller probe being conducted fairly,A new Associated Press poll finds that a 62% of Americans are confident that Mueller's investigation is being conducted fairly and impartially.
