Date,Headline,Summary
"Mar 22, 2019",White House: Islamic State territory in Syria eliminated,"The White House says that all Islamic State held territory in Syria has been""100 percent"" eliminated."
"Mar 22, 2019",Death penalty prosecution planned for former police officer,Federal prosecutors are seeking the death penalty against a former suburban New York police officer charged in the kidnapping and killing of four men in 2016.
"Mar 22, 2019",Jimmy Kimmel diagnoses Trump with Narcissistic Personality Disorder,ABC’s Jimmy Kimmel declared on Thursday night that President Trump suffers from “Narcissistic Personality Disorder.”
"Mar 22, 2019","CBP defends decision to detain girl, 9, for more than 30 hours despite her being US citizen","Customs and Border Patrol has defended their decision to detain a nine-year-old girl for more than 30 hours after she gave ""inconsistent information"" about her U.S. citizenship."
"Mar 22, 2019",Director Judd Apatow slams Donald Trump's 'cult-like' followers over John McCain jabs,Director and producer Judd Apatow is the latest celebrity to take a direct shot at Donald Trump over his ongoing attacks against the late Senator John McCain. The star even went as far as to condemn the people supporting the president in the midst of the controversy.
"Mar 22, 2019",Pompeo says Trump is like biblical queen who saved Jews,"U.S. Secretary of State Mike Pompeo says it's ""possible"" that President Donald Trump is like Queen Esther, who saved Jews in the Old Testament."
"Mar 22, 2019","Ocasio-Cortez, in sick burn, compares Trump to ‘nematode’","Freshman Rep. Alexandria Ocasio-Cortez, D-N.Y., compared President Trump to a worm during an interview on “Late Night with Seth Meyers” on Thursday -- but you'd need your dictionary to know that."
"Mar 22, 2019","Proposal for 60,000-square-foot NJ megamansion spooks neighbors: 'It's a monstrosity'",This place is going to make the White House look like a shack.
"Mar 22, 2019",College sophomore talks about getting bullied for being conservative on campus,A student at the College of Charleston spoke to “Fox & Friends” Friday about her experiences on campus as a conservative and warned other conservatives to expect bullying.
"Mar 22, 2019",Trump administration slaps new sanctions on Iran,"The Trump administration announced Friday that it is slapping new sanctions on more than two dozen Iranian individuals involved in the country’s nuclear and missile research programs, as Secretary of State Mike Pompeo denounced Iran’s growing influence."
"Mar 22, 2019",FBI clashed with DOJ over potential 'bias' of source for surveillance warrant: McCabe-Page texts,"Just nine days before the FBI applied for a Foreign Intelligence Surveillance Act (FISA) warrant to surveil a top Trump campaign aide, bureau officials were battling with a senior Justice Department official who had ""continued concerns"" about the ""possible bias"" of a source pivotal to the application, according to internal text messages obtained by Fox News. "
"Mar 22, 2019","I've hunted ISIS, and they are far from done",This week marked a significant moment in the War on Terror: the destruction of ISIS last remaining foothold in Syria and the decimation of ISIS proclaimed caliphate
"Mar 22, 2019","MSNBC’s Joe Scarborough says Trump is either ‘losing his mind’ or lying: ‘I’m talking to you, Donald’",MSNBC’s “Morning Joe” namesake Joe Scarborough declared that President Trump could be “losing his mind” if he’s not a “liar” on Friday morning.
"Mar 22, 2019","Residents in world’s most violent city are buying stolen US-Mexico border wire for protection, report says",Steel razor wire installed by American troops and Border Patrol officials to deter migrants from crossing into the country illegally from Mexico is now being stolen by people looking to protect themselves in what is said to be the most dangerous city in the world.
"Mar 22, 2019",Trump accuses Democrats of 'wasting everyone's time' with 'nonsense' investigations,"President Trump accused House Democrats on Friday of “wasting everyone’s time” with their numerous investigations into his administration, businesses and campaign, calling them a “continuation of the same nonsense.” "
"Mar 22, 2019","Harvard-educated Time Magazine writer who said she, AOC have ‘never experienced American prosperity’ roasted","The journalist behind the new Time Magazine cover story of Rep. Alexandria Ocasio-Cortez, D-NY, faced plenty of backlash for a claim she made about fellow millennials."
"Mar 22, 2019",Trump has unleashed a roaring economy and that's really bad news for 2020 Democrats,Trump has unleashed the animal spirits of the market. Best of luck to the Democrats trying to corral them in 2020.
"Mar 22, 2019",Sam Adams dedicating new beer to Ruth Bader Ginsburg,She’s a Supreme Court justice. A graduate of Columbia Law School. A cultural and feminist icon. And now she’s the inspiration for Samuel Adams beer.
"Mar 22, 2019",GM announces $300 million investment for new American-made electric car,Built next to the Bolt.
"Mar 22, 2019","NBC, ABC, CBS evening newscasts ignore Trump’s executive order to promote free speech on college campuses",President Trump on Thursday signed an executive order to promote free speech on college campuses by threatening colleges with the loss of federal research funding if they do not protect those rights – but anyone who relies on evening newscasts of broadcast networks for news consumption would have no idea.
"Mar 22, 2019",Michael Knowles: Trump has backed his Democratic opponents into a corner – A race to the left won't save them,"The 2020 Democrat presidential candidates seem confident that we’ve entered a suicidal cycle of waste and foolery, and so they race each other to the radical left. No proposal is too extreme, no institution safe from demolition."
"Mar 22, 2019",John McCain’s youngest daughter slams Trump in rare public statement,John McCain’s youngest daughter made a rare public statement hitting back at President Trump in the wake of his attacks on the late Arizona senator.
"Mar 22, 2019",US forces say 2 American soldiers killed in Afghanistan,"Two American service members were killed during an operation in Afghanistan on Friday, the U.S. and NATO forces said without providing any other details on the combat deaths."
"Mar 22, 2019","Laura Ingraham: While Dems lean toward socialism, Trump reminds us what the Free Speech Movement was about",Laura Ingraham: Trump stands up for conservatives' right to free speech
"Mar 22, 2019","Trump on FBN: President reveals his 'dream' 2020 rival, says Dems becoming 'radicalized'","President Trump, in an extensive interview with Fox Business Network's Maria Bartiromo, accused Democrats embracing ideas like court-packing and the Green New Deal of becoming ""radicalized"" -- while voicing confidence as he sized up the ever-expanding field of potential 2020 opponents. "
"Mar 22, 2019","Trump has more women as top advisers than Obama, Bush, or Clinton","President Trump, often criticized for his stance toward women, employs more women as senior advisers than former presidents Barack Obama, George W. Bush, and Bill Clinton did at the similar points in their presidencies."
"Mar 22, 2019",2020 Dem slams Trump's 'porn star presidency' but called Bill Clinton-Paula Jones case 'frivolous',"Democratic presidential candidate Pete Buttigieg has branded the Trump administration “the porn star presidency” but once questioned whether Bill Clinton should have been impeached for his scandals, calling a sexual harassment lawsuit against Clinton “frivolous” and “instigated by his opponents.”"
"Mar 22, 2019","Tucker Carlson: When the Mueller report shows Trump didn't collude with Russia, will anyone be punished?",Tucker Carlson: Will we learn anything from the Russian collusion hoax?
"Mar 22, 2019",Communities struggle to cope after killings that authorities have linked to illegal immigrants,"Emotions ran high at a San Jose, Calif. community meeting this week where residents questioned local officials about the brutal stabbing death of Bambi Larson, who was allegedly killed by an undocumented immigrant wanted by federal immigration officials for deportation."
"Mar 22, 2019",Newt Gingrich: Make the Mueller report public -- Here's why,President Trump is right: Every American should be able to see what Special Counsel Robert Mueller and his team have been doing for the last two years. The Mueller report should be made public.
"Mar 22, 2019",‘Dick Van Dyke Show’ creator Carl Reiner says he celebrated turning 97 ‘by staying alive’,Carl Reiner turned the big 9-7 on March 20 and there was one way he wanted to celebrate his birthday.
"Mar 22, 2019",Trump's support for Israel on Golan Heights separates him from 2020 Dems: Tom Bevan,"President Trump has made yet another move to strengthen the relationship between the U.S. and Israel, one that may also serve as a political calculation going into 2020, Real Clear Politics co-founder Tom Bevan argued Thursday."
"Mar 22, 2019",Marc Thiessen: Trump isn't the biggest threat to the Constitution. Democrats are,Who is the biggest threat to our constitutional order? It is not President Trump.
"Mar 22, 2019",Time's 'phenom': Is AOC using the media — or the other way around?,Alexandria Ocasio-Cortez and the media are in a codependent relationship that benefits both sides.
"Mar 22, 2019","AOC defends Green New Deal, says narrative being 'manipulated' by Trump, other critics","U.S. Rep. Alexandria Ocasio-Cortez, D-N.Y., appeared on a late-night comedy talk show Thursday night but was stone-cold serious in her defense of the Green New Deal, the cornerstone of her progressive agenda."
"Mar 21, 2019",Two US service members killed in Afghanistan,"Two U.S. service members were killed during an operation in Afghanistan on Friday, according to a NATO-led resolute support mission statement."
"Mar 21, 2019",David Webb: CNN's petulant Jim Acosta has a predictable reaction to a reporter's valid questions for Trump,"So many in the media, stricken with some form of Trump Derangement Syndrome, cannot see past their personal view to their professionalism."
"Mar 21, 2019",New Thai election rules make it hard to trump junta's pick,Thailand heads to the polls Sunday to vote in the country's first general election since the military toppled an elected government in a coup nearly five years ago.
"Mar 21, 2019",Democrats push for assault weapons ban following New Zealand terror attack,"Guests: Harmeet Dhillon, Bernadette Tasy, Richard Muller, Dinesh D'Souza, Mike Huckabee, John Torres, Steve Scalise"
"Mar 21, 2019",Dan Bongino: More evidence for 'Sasquatch' than for 'half the stuff CNN puts on the air',"Fox News contributor Dan Bongino weighed in on the pending lawsuit against CNN over its coverage of the viral confrontation between the Covington Catholic High School students and Native American elder Nathan Phillips, saying the liberal network has a serious trust issue."
"Mar 21, 2019",Stacey Abrams nonprofit's spending prompts questions,"Spending by Fair Fight Action, a nonprofit Stacey Abrams founded to advance voting rights and which is staffed by former Abrams campaign aides, is prompting questions about whether the nonprofit is inappropriately supporting her political ambitions."
"Mar 21, 2019",Gutfeld on the crushing of ISIS,"No one likes to say, ""Mission Accomplished,"" but Fox News has learned that the last ISIS stronghold, has been liberated– the repugnant empire that once terrorized over 8 million people is left with 800 yards of turf. For now."
"Mar 21, 2019",Matthew Charles recognized as first prisoner released under First Step Act,"Guests: Alan Dershowitz, Pam Bondi, Victor Davis Hanson, Mark Levin, Matthew Charles"
"Mar 21, 2019",Trump's support for Israel's sovereignty over Golan Heights expected to make waves at UN,"President Trump on Thursday tweeted his support for the United States to recognize Israeli sovereignty over the Golan Heights, but like his move to recognize Jerusalem as the capital of Israel, Trump's decision is at odds with United Nations resolutions and likely won't bode well with U.S. critics at the world body."
"Mar 21, 2019",Trump’s campus free speech Executive Order protects all students – it's intellectual freedom vs social tyranny,President Trump is right. Schools that promote and enforce policies that directly contradict this country’s highest and most cherished laws don’t deserve taxpayer funding.
"Mar 21, 2019",Trump support of Golan Heights sovereignty and Netanyahu visit continue US special relationship with Israel,Trump's support of Israeli sovereignty over the Golan Heights and his welcoming of Netanyahu to the White House show the U.S. and Israel remain close.
"Mar 21, 2019",Democrats turn on each other using identity politics,Guests: Michael Caputo; Luis Miranda; Robert Patillo; Mark Steyn; Mark Morgan
"Mar 21, 2019","EU leaders agree to short-term Brexit delay, granting PM Theresa May a lifeline",European Union leaders on Thursday night agreed to a short-term Brexit extension in order to allow British Prime Minister Theresa May more time to get her withdrawal agreement through Parliament -- a week before Britain is due to leave the bloc.
"Mar 21, 2019",FDA chief: Teen e-cigarette use is an 'epidemic',"Guests: Kristan Hawkins, Cabot Phillips, Doug Thornell, Colin Reed, Scott Gottlieb, Xochitl Hinojosa, Mark Eiglarsh"
"Mar 21, 2019","Kamala Harris' Texas trip, Hickenlooper's 'embarrassment' featured by 'Daily Briefing' on Political Tales from the Trail","""The Daily Briefing"" on Thursday featured Tales from the Trail, the best recent anecdotes from the contenders for the Democratic nomination for president."
"Mar 21, 2019",The politics of Trump's surprise Golan Heights announcement,"Guests: John Delaney, Morgan Ortagus, Charles Lane, Tom Bevan"
"Mar 21, 2019","Comey hopes Mueller report shows rule of law, doesn't think Trump should be impeached",Former FBI Director James Comey doesn’t want to see Special Counsel Robert Mueller’s report find President Trump to be a criminal. He also doesn’t want the report to “clear” Trump of any wrongdoing.
"Mar 21, 2019","Pompeo vows to pile economic, political pressure on Iran","Secretary of State Mike Pompeo told Fox News Thursday that the United States would step up financial and political pressure on Iran's theocratic regime as it seeks to ""extend its reach"" across the Middle East."
"Mar 21, 2019",AP FACT CHECK: Trump blames media for his McCain rant,President Donald Trump's posthumous slam on Sen. John McCain flips reality on its head when it comes to who gave veterans the option to see a private doctor at public expense.
"Mar 21, 2019","Clinton, in newly revealed emails, discussed classified foreign policy matters, secretive 'private' comms channel with Israel","A newly unearthed batch of classifed emails from Hillary Clinton's email server reveals that the former secretary of state discussed establishing a ""private, 100% off-the-record"" back channel to Israel Prime Minister Benjamin Netanyahu, and that her top aides were warning that she was in ""danger"" of being ""savaged by Jewish organizations, in the Jewish press and among the phalanx of neoconservative media"" as a result of political machinations by ""Bibi and the Jewish leadership."""
"Mar 21, 2019",Marine Corps commandant warns of dire fiscal situation after funds are rerouted to troops at border,"In internal documents obtained by Fox News and first reported by the Los Angeles Times, the top Marine Corps commandant, Robert Neller, a four-star general, is warning Defense Department officials that there's a cost to the massive response at the border. He called it an “unacceptable risk,” one that's “negatively impacting Marine Corps readiness.”"
"Mar 21, 2019",Lori Loughlin's daughter Olivia Jade reportedly upset that parents ruined her influencer career,Report: Olivia Jade is furious at her parents for forcing her to go to college.
"Mar 21, 2019","Cummings concerned about Jared, Ivanka private emails, texts","Ivanka Trump, the president's daughter and a powerful White House aide, is not preserving all of her official email communications as required by federal law, the chairman of the House Oversight and Reform Committee said on Thursday."
"Mar 21, 2019",Desperate migrant families overwhelm US border agencies,A mother cradled a crying toddler as she waited in line with 20 other women to shower.
"Mar 21, 2019","Trump says John McCain 'was horrible, what he did with repeal and replace'","President Trump returned to his ongoing, one-sided feud with the late Sen. John McCain Thursday, telling Fox Business Network's ""Mornings with Maria,""  ""I'm not a fan of John McCain, and that's fine."""
"Mar 21, 2019",President Trump signs an executive order to protect free speech on college campuses,"Guests: Brandon Judd, Lisa Kuharksi, Jon Sale, Danielle Shay, Lee Carter, Barry Valentine, David Grasso, David Burstein, Holly Turner"
"Mar 21, 2019",White House rejects House Dems' request for documents on Trump-Putin talks,"The White House rejected on Thursday a call by House Democrats for documents relating to private conversations between President Trump and his Russian counterpart, Vladimir Putin."
"Mar 21, 2019",Trump assembles 2020 war chest,What does this war chest contain?
"Mar 21, 2019","Kim Jong Un under fire for flagrantly violating sanctions with his mysterious, growing fleet of luxurious vehicles","Despite the robust United Nations sanctions that have long been slapped upon North Korea – banning sales of luxury goods and vehicles to the nuclear weapons-procuring and human rights-abusing government – leader Kim Jong appears to have no problem curating an extravagant car collection, and flagrantly flashing the violations for the world to see."
"Mar 21, 2019",Trump signs executive order to promote free speech on college campuses,President Trump on Thursday signed an executive order to promote free speech on college campuses by threatening colleges with the loss of federal research funding if they do not protect those rights. 
"Mar 21, 2019",Trump campaign spokeswoman: Dems don't have 'the data' to win in 2020,President Trump’s 2020 campaign national press secretary accused Democrats and possible presidential candidate Joe Biden of wanting to change America’s institutions and said Democrats don’t have the data to win in 2020.
"Mar 21, 2019","Michael Moore, Mark Ruffalo claim to strategize for '2020 blue deluge'",Actor Mark Ruffalo and filmmaker Michael Moore claim to be strategizing for a “blue deluge” in 2020. 
"Mar 21, 2019","Pence offers olive branch to California lawmakers, state assembly speaker responds with sarcastic rebuke",Vice President Mike Pence recently sent a letter to the leader of the California State Assembly in an attempt to ease the tensions between the White House and the Democrat-controlled statehouse in Sacramento.
"Mar 21, 2019","2020 Dems take aim at filibuster, say Senate tradition should 'go the way of history'",Add Beto O’Rourke to a growing list of Democratic presidential candidates who are considering scrapping long-standing Senate procedure in hopes of passing a sweeping progressive agenda should they make it to the White House.
"Mar 21, 2019",Trump says US should recognize Israeli sovereignty over disputed Golan Heights,"President Trump said Thursday that the United States should recognize Israel’s sovereignty over the contested Golan Heights, ahead of Israeli Prime Minister Benjamin Netanyahu's visit to Washington next week. "
"Mar 21, 2019","Venezuelan intel agents arrest top opposition aide after allegedly planting firearms, grenade in night raid","Venezuelan intelligence agents have “kidnapped” a top aide to Interim Venezuelan leader Juan Guaidó following a middle-of-the-night raid at gunpoint, where agents planted firearms and a grenade to justify the arrest."
"Mar 21, 2019","Lawyer for Ivanka Trump, Jared Kushner rebuts Cummings' concerns over private emails, texts","Ivanka Trump, the president’s daughter and adviser, did not preserve all of her official emails as required by federal law, and her husband, Jared Kushner, used a messaging application to conduct U.S. business outside government channels, the chairman of the House Oversight and Reform Committee said on Thursday."
"Mar 21, 2019",Trump already amassing huge war chest for 2020 – challengers beware,While President Trump is facing murmurs of a primary challenge – as well as a massive field of Democratic candidates jockeying to take him on – the incumbent president enters the 2020 melee with an undeniable advantage: a war chest that would be the envy of any modern president.
"Mar 21, 2019","Roger Stone invokes 5th Amendment, refuses to turn over documents for top Dem's probe","Former Trump political adviser Roger Stone has invoked the Fifth Amendment and refused to turn over documents requested by House Judiciary Committee Chairman Jerry Nadler, saying he will not appear on Capitol Hill for an interview as part of the committee’s expansive investigation into President Trump."
"Mar 21, 2019","ISIS caliphate has crumbled and last stronghold liberated, Fox News has learned","The caliphate has crumbled, and the final offensive is over. While the official announcement hasn’t yet been made – Fox News has been told that this village, the last ISIS stronghold, is liberated."
"Mar 21, 2019",David Letterman admits he overstayed his welcome on late-night TV: 'Nobody had the guts to fire me',David Letterman admitted he overstayed his welcome -- by 10 years -- on late-night television.
"Mar 21, 2019",APNewsBreak: Police say Salvadoran suspect killed for meth,A detective says a Salvadoran immigrant charged with four Nevada murders told police he robbed and killed his elderly victims during a 10-day rampage in January because he needed money to buy methamphetamine.
"Mar 21, 2019",Economic models indicate Trump on track to win re-election in 'landslide': report,"Despite low approval ratings and the cloud of the Mueller probe, President Trump would easily win a second term in office if the election were held today, according to economic models with a history of correctly picking presidential victors."
"Mar 21, 2019",Brent Bozell calls tech industry liberal bias 'the greatest threat to liberty in history',"A group of high-powered conservative media leaders gathered on Wednesday night to strategize ways to combat liberal bias in the tech industry, which Media Research Center founder Brent Bozell called “the most powerful force in history” when it comes to remaking civilization."
"Mar 21, 2019","De Blasio, Gillibrand polling poorly in home-state New York",New Yorkers apparently don’t think too much of a native daughter who’s running for the Democratic presidential nomination and a native son who’s also mulling a White House bid.
"Mar 21, 2019",Tammy Bruce: California executes a 'moratorium' on the death penalty,"During the past eight years, California voters have twice reiterated their support for the death penalty by defeating propositions seeking to overturn it."
"Mar 21, 2019","Karl Rove: Robert Francis O’Rourke, reloaded","Human nature being what it is, many candidates run for office the same way they did the last time. Take the 15th Democratic presidential candidate, former Rep. Robert Francis O’Rourke."
"Mar 21, 2019","The only way Democrats can win is by changing the rules, and that's exactly what they're trying to do","Democrats demand that there is only one acceptable outcome to any contest. They are supposed to win. If they don’t, it’s proof that the rules are wrong and need to be changed."
"Mar 21, 2019",Shocking 'Terminator-like' liquid metal developed by scientists,"Researchers have created a ""Terminator-like"" liquid metal that has the ability to stretch horizontally and vertically, as well as changing shapes, according to a new study."
"Mar 21, 2019",Top House Republican on mission to publish explosive Russia probe files,"House Republicans have lost the majority, but they're not giving up the bullhorn they've used to challenge the Russia probe narrative. "
"Mar 21, 2019",Are modern commercial aircraft too complicated to fly?,Experts weigh in on the President's suggestion that technology is to blame for the Ethiopian Airlines crash
"Mar 21, 2019","Samantha Bee skewers Democratic 2020 hopefuls, says 'we’ll be stuck with this toilet monster' Trump",“Full Frontal” host Samantha Bee kicked off her show Wednesday night by tackling the growing field of Democratic candidates running for president in 2020.
"Mar 21, 2019","If we lose free speech on college and university campuses, we lose America",The criminalization of free speech on college and university campuses has reached epidemic proportions as simply expressing a point of view that runs counter to academic conventional wisdom can lead to ostracization and loss of basic freedoms.
"Mar 21, 2019","Kellyanne Conway calls husband's attacks on Trump 'unusual,' thanks president for defending her","Kellyanne Conway weighed in Thursday on the bitter Twitter feud between her husband George and President Trump, calling her spouse's criticism of her boss ""unusual"" while thanking Trump for defending her from what “he thinks is unfairness.”"
"Mar 21, 2019",Trump only ‘hurting himself’ with McCain attacks because they distract from strong economy: Marc Thiessen,"President Donald Trump’s approval would be much higher if he didn’t go after respected Americans like deceased senator, John McCain, argued Washington Post columnist Marc Thiessen."
"Mar 21, 2019","Arnold Schwarzenegger calls Donald Trump's attacks on John McCain 'unacceptable,' mocks president's physique","Actor and former governor of California Arnold Schwarzenegger isn’t standing for Donald Trump’s attacks on the late John McCain. The ""Terminator"" star took jabs of his own at the president while calling his previous comments “unacceptable.”"
"Mar 21, 2019",Texas Rep. Dan Crenshaw fighting for fellow Navy SEAL being held on war crimes charges,"Texas Rep. Dan Crenshaw and 17 other House Republicans have sent a letter to the Secretary of the Navy this week urging him to review the pre-trial confinement of Eddie Gallagher amid concerns the decorated Navy SEAL has been receiving limited access to food, medical care and his legal team, his office exclusively tells Fox News."
"Mar 21, 2019",Laura Ingraham: World leaders want 'Amtrak Joe' Biden to run because he represents the status quo,Laura Ingraham: The real reason world leaders want Joe Biden to run.
"Mar 21, 2019",Trump goalie mask made for youth hockey player draws criticism,A Pennsylvania youth hockey player and an artist received backlash on social media after the goalie wore a mask which featured President Donald Trump holding a trowel and a brick.
"Mar 21, 2019","President Trump, we need you in Lordstown. Come and look our community in the eye",If President Trump does not do something tangible to show the Lordstown community he is serious about fighting for local jobs he runs the risk of losing support in 2020.
"Mar 21, 2019",Tucker Carlson: Immigration is not always good for our economy. Those who say it is are lying to you,Tucker Carlson: Not all immigrants are the same.
"Mar 21, 2019",Hundreds of illegal immigrants released into US amid overcrowding at detention facilities,The U.S. has started releasing hundreds of illegal immigrant detainees into the country as immigration authorities struggle to find available places to house the thousands of illegal migrants coming through the U.S.-Mexico border.
"Mar 21, 2019",Ted Koppel says 'the Establishment press is out to get' Trump,The former 'Nightline' host unloaded on The New York Times and Washington Post.
"Mar 20, 2019","Pompeo heads to Lebanon, where Hezbollah is at peak strength","U.S. Secretary of State Mike Pompeo hopes to use his first visit to Lebanon this week to step up pressure on Iran and its local ally, Hezbollah."
"Mar 20, 2019",Mike Huckabee blasts Gillibrand plan to extend Social Security to illegal immigrants,"Making illegal immigrants eligible for Social Security benefits -- as 2020 presidential candidate Sen. Kirsten Gillibrand, D-N.Y., has suggested -- is a ""ridiculous proposal,"" former Republican presidential candidate Mike Huckabee said Wednesday on Fox News' ""Hannity."""
"Mar 20, 2019","Trump calls on UAW to lower workers' dues during visit to Lima, Ohio, tank plant","Members of America's largest autoworkers union are paying too much in dues, President Trump said Wednesday during a speech at an Ohio tank plant."
"Mar 20, 2019",Judge Andrew Napolitano: Can the president legally break the law?,Legal scholars have been fascinated for two centuries about whether an American president can break the law and remain immune from prosecution.
"Mar 20, 2019",President Trump calls Kellyanne Conway's husband a 'wack job',"Guests: Nigel Farage, Peter Schweizer, Tim Moore, Chris Hahn"
"Mar 20, 2019",Rep. Ilhan Omar's 'anti-Semitic tropes' prompt Jewish New York Dem to apologize to constituents,"U.S. Rep. Max Rose, a Jewish New York Democrat in his first term in Congress, apologized to visibly frustrated constituents at a town hall in Staten Island on Tuesday for not ""protecting them"" from fellow freshman Democrat Rep. Ilhan Omar's repeated use of ""anti-Semitic tropes."""
"Mar 20, 2019",Sen. Gillibrand proposes giving social security to illegal immigrants,"Guests: John Solomon, Joe DiGenova, Victoria Toensing, Larry Elder, Mike Huckabee"
"Mar 20, 2019",The Electoral College is a roadblock for our democracy -- It's time for it to be removed,The desire to maintain the Electoral College is consistent with the Republican Party’s desire to limit our democracy and take power away from the majority of voters.
"Mar 20, 2019",Pentagon watchdog to investigate if Shanahan used office to promote Boeing,"The Department of Defense Office of Inspector General said Wednesday that it had opened an investigation into whether acting Secretary of Defense Patrick Shanahan had used his position to improperly promote his former employer, Boeing."
